local_compania,ano,origem_cacau,ingredientes,caracteristicas,percentagem_cacau,ID
South Africa,2016,Madagascar,"3- B,S,C","high roast, fruit",70%,719
U.S.A.,2007,Madagascar,"4- B,S,C,V","sandy, cloying, rich cocoa",66%,720
U.S.A.,2007,Costa Rica,"4- B,S,C,V","dark coffee, cocoa",64%,721
U.S.A.,2007,Ecuador,"4- B,S,C,V","cinamon, nutmeg, coffee",71%,722
U.S.A.,2007,Ghana,"4- B,S,C,V","nutty, simple, sweet",60%,723
U.S.A.,2007,Papua New Guinea,"4- B,S,C,V","waxy, tobacco, smokey",64%,724
U.S.A.,2007,Peru,"4- B,S,C,V","mild mint, basic cocoa",64%,725
France,2008,Venezuela,"4- B,S,C,V","fatty, rich cocoa, roasty",66%,726
France,2009,Papua New Guinea,"4- B,S,C,V","smokey,chalky,berry,caramel",64%,727
Dominican Republic,2018,Dominican Republic,"2- B,S","metallic, dirt/ earthy",70%,728
Dominican Republic,2018,Dominican Republic,"2- B,S","dirty, floral, unrefined",70%,729
Dominican Republic,2018,Dominican Republic,"2- B,S","mild bitter, fatty, grassy",80%,730
Canada,2016,Tanzania,"2- B,S","vanilla, chemical, rubber",72%,731
Canada,2019,Guatemala,"2- B,S","smokey, roasty, acidic, rich",72%,732
U.S.A.,2007,Costa Rica,"2- B,S","red berry, lingering coffee",77%,733
U.S.A.,2007,Dominican Republic,"2- B,S","sticky, woodsy, rum",77%,734
U.S.A.,2008,Bolivia,"2- B,S","intense fruit, bitter ending",80%,735
U.S.A.,2011,Madagascar,"2- B,S","sandy, flat, hint of berry",80%,736
U.S.A.,2011,Venezuela,"2- B,S","sticky, very roasty, nutty",75%,737
U.S.A.,2011,Dominican Republic,"2- B,S","earthy, tart, sour",74%,738
U.S.A.,2011,Ecuador,"2- B,S","grassy, tea, late sour",70%,739
U.S.A.,2012,Bolivia,"2- B,S","dry, mint, medicinal",75%,740
U.S.A.,2013,Ecuador,"2- B,S","oily, black pepper, roasty",70%,741
U.S.A.,2013,Ecuador,"2- B,S","butter, floral, rum",76%,742
U.S.A.,2014,Dominican Republic,"2- B,S","mild fruit and spice, roasty",74%,743
U.S.A.,2015,Bolivia,"2- B,S","sticky, rich, cherry",70%,744
U.S.A.,2016,Vietnam,"2- B,S","tropical berry, intense",78%,745
U.S.A.,2017,Guatemala,"2- B,S","blackberry, raisns",70%,746
U.S.A.,2017,Brazil,"2- B,S","sticky, roasty nibs, grapes",75%,747
U.S.A.,2017,Solomon Islands,"2- B,S","well defined, creamy, cherry",72%,748
U.S.A.,2018,Fiji,"2- B,S","cocoa, tea, malt",80%,749
U.S.A.,2019,Madagascar,"2- B,S","sticky, dried fruit, toast, cocoa",72%,750
U.S.A.,2019,Belize,"2- B,S","creamy, sticky, dried fruit",72%,751
U.S.A.,2020,Blend,"2- B,S","burnt honey, earthy",73%,752
U.S.A.,2021,Jamaica,"2- B,S","sl. bitter, black licorice, dried fig",75%,753
U.S.A.,2021,Mexico,"2- B,S","dried fruit, fig, astringent, sticky",72%,754
Sao Tome & Principe,2019,Sao Tome,"4- B,S,C,L","late cocoa, harsh, off notes",75%,755
Sao Tome & Principe,2019,Sao Tome,"4- B,S,C,L","cocoa, raw, dirty, chemical",70%,756
Sao Tome & Principe,2019,Sao Tome,"4- B,S,C,L","complex, sweet, sour, grassy",65%,757
Sao Tome & Principe,2019,Sao Tome,"4- B,S,C,L","bland, fatty, fruit",75%,758
U.K.,2014,Panama,"3- B,S,C","mild cherry, earthy",72%,759
U.K.,2014,Venezuela,"3- B,S,C","fatty, rasin, nutty",72%,760
U.K.,2014,Nicaragua,"3- B,S,C","nutty, caramel, toffee",72%,761
U.K.,2015,Venezuela,"3- B,S,C","intense, spicy, floral",85%,762
Belgium,2006,Blend,"3- B,S,L","acidic, astringent, unpleasant",70%,764
Belgium,2008,Blend,"3- B,S,L","sticky, floral",88%,765
Italy,2006,Venezuela,"2- B,S","long lasting, fruit",70%,766
Italy,2006,Peru,"2- B,S","floral, olive",70%,767
Italy,2006,Venezuela,"2- B,S","creamy, basic cocoa",70%,768
Italy,2007,Venezuela,"2- B,S","sticky, smoke, ham, earthy",75%,769
Italy,2007,Venezuela,"2- B,S","mild spice, licorice",60%,770
Italy,2007,Madagascar,"2- B,S","fruity, basic cocoa",70%,771
Italy,2007,Madagascar,"2- B,S","smooth, banana, cocoa",70%,772
Italy,2007,Indonesia,"2- B,S","creamy, smokey, tobacco",70%,773
Italy,2007,Venezuela,"2- B,S","creamy, complex, coffee",70%,774
Italy,2007,Ecuador,"2- B,S","creamy, nuts, woody, cocoa",70%,775
Italy,2007,Venezuela,"2- B,S","creamy, mint, tobacco, olive",70%,776
Italy,2008,Venezuela,"2- B,S","cucumber, hot spices",70%,777
Italy,2008,Colombia,"2- B,S","creamy, woody, earthy",70%,778
Italy,2008,Blend,"2- B,S","sticky, grassy, coffee",78%,779
Italy,2008,Blend,"2- B,S","sticky, olive",70%,780
Italy,2010,Venezuela,"2- B,S","subtle, caramel, sour milk",70%,781
Italy,2011,Venezuela,"2- B,S","smooth, intense, smoke, nut",70%,782
Italy,2012,Tanzania,"2- B,S","sticky, nutty",70%,783
Italy,2012,Venezuela,"2- B,S","creamy, coffee, caramel",70%,784
Italy,2015,Ecuador,"2- B,S","floral, well developed, creamy",70%,786
Italy,2015,Venezuela,"2- B,S","nutty, strawberry, creamy",70%,787
Italy,2018,Tanzania,"2- B,S","creamy, sticky, fruit",70%,788
U.K.,2015,Venezuela,"3- B,S,C","burnt rubber, molasses",70%,789
U.K.,2015,Colombia,"3- B,S,C","bitter,molasses,marshmallow",80%,790
U.K.,2015,Madagascar,"3- B,S,C","fruity, molasses",77%,791
U.K.,2016,Grenada,"3- B,S*,C","licorice, molasses, rubber",75%,792
U.K.,2018,Philippines,"3- B,S*,C",molasses notes from sugar,71.50%,793
U.K.,2018,Guatemala,"3- B,S*,C","near perfect shine, cocoa",72%,794
U.K.,2018,Peru,"2- B,S*","molasses, fruit",80%,795
U.K.,2021,Belize,"3- B,S,C",molasses notes dominate,78%,796
U.S.A.,2019,Dominican Republic,"2- B,S","dry, earthy, walnut",75%,797
U.S.A.,2019,Tanzania,"2- B,S","dry, sour, sweet, mild fruit",70%,798
U.S.A.,2019,Dominican Republic,"2- B,S","dry, cocoa, grassy, spicy",75%,799
U.K.,2010,Ecuador,"3- B,S,C","chalky, bread, dirt",70%,800
U.K.,2010,Panama,"3- B,S,C",caramel and cocoa,70%,801
U.K.,2010,Ecuador,"3- B,S,C","rich cocoa, fruity, strong floral",72%,802
U.K.,2010,Peru,"3- B,S,C","dark forest berry, spice",70%,803
U.K.,2011,Panama,"3- B,S,C","licorice, leathery",72%,804
U.K.,2011,Nicaragua,"3- B,S,C","intense, almond, coffee",71%,805
U.K.,2011,Dominican Republic,"3- B,S,C","heavy roast, woody, berry",65%,806
U.K.,2011,Venezuela,"3- B,S,C",intense cocoa,71%,807
U.K.,2011,Honduras,"3- B,S,C","dried fruit, grapes, sour",72%,808
U.K.,2012,Venezuela,"3- B,S,C","creamy, nutty",72%,809
U.K.,2014,Nicaragua,"4- B,S,C,L","sandy, full bodied, spicy",70%,810
U.K.,2014,Nicaragua,"4- B,S,C,L","black pepper, rich, intense",76%,811
U.K.,2015,Guatemala,"4- B,S,C,L","intense, spicy, butterscotch",70%,812
U.K.,2017,Nigeria,"4- B,S,C,L",candy like off flavor,70%,813
U.K.,2018,Guatemala,"4- B,S,C,L","intense earthy, cocoa, roasty",80%,814
U.K.,2019,Philippines,"4- B,S,C,L","cocoa, honey, watery, sweet",70%,815
U.K.,2021,Nicaragua,"4- B,S,C,L","fruit, holiday spice",70%,816
U.S.A.,2015,Dominican Republic,"2- B,S","coarse, earthy, mild banana",70%,817
U.S.A.,2015,Dominican Republic,"3- B,S,C","dates, acidic, rich cocoa",70%,819
U.S.A.,2015,Venezuela,"3- B,S,C","cherry, earthy, tobacco",70%,820
U.S.A.,2015,Peru,"3- B,S,C","sandy, orange, butterscotch",70%,821
U.S.A.,2015,Venezuela,"3- B,S,C","fatty, roasty, intense brownie",70%,822
U.S.A.,2015,Ecuador,"3- B,S,C",blackberry and cinnamon,70%,823
U.S.A.,2018,Peru,"3- B,S,C","smoth, dense, grape",70%,824
Canada,2014,Peru,"3- B,S,C","waxy, spicy, tobacco",70%,825
Canada,2014,Madagascar,"3- B,S,C",ultra fruity,70%,826
Canada,2014,Dominican Republic,"3- B,S,C","spicy, cocoa",70%,827
Canada,2016,Colombia,"3- B,S,C","dried fruit, strong floral",70%,828
Canada,2016,Colombia,"3- B,S,C","mild, dried fruit, chocolate",70%,829
U.S.A.,2012,Peru,"3- B,S,C","buttery, burlap",72%,830
U.S.A.,2019,Peru,"2- B,S","nutty, almond butter",80%,831
Germany,2016,Venezuela,"2- B,S","dry, gritty, cardboard, nutty",68%,832
U.S.A.,2020,Madagascar,"2- B,S","molasses, red fruit, astringent",70%,833
U.S.A.,2020,Colombia,"2- B,S","cocoa, spice, alcohol, dirty",70%,834
Bolivia,2008,Bolivia,"4- B,S,C,L","lemon, tart, burnt, chemical",71%,835
Bolivia,2011,Bolivia,"4- B,S,C,L","nutty, rich, red berry",75%,836
Venezuela,2006,Venezuela,"5- B,S,C,V,L","gritty, chalky, earthy, sour",70%,837
Venezuela,2008,Venezuela,"5- B,S,C,V,L","sandy, banana, sour",74%,838
Venezuela,2008,Venezuela,"5- B,S,C,V,L","gritty, sweet, banana, smoke",58%,839
Venezuela,2008,Venezuela,"5- B,S,C,V,L","muted, cherry, banana",61%,840
Venezuela,2009,Venezuela,"5- B,S,C,V,L","very sweet, marshmallow",60.5%,841
Venezuela,2009,Venezuela,"5- B,S,C,V,L","sandy,bold,cherry,peanut butter",70%,842
Venezuela,2015,Venezuela,"5- B,S,C,V,L","spicy, caramel, vanilla",70%,843
U.S.A.,2019,Guatemala,"3- B,S,C","cocoa, fig notes",70%,844
St. Lucia,2013,St. Lucia,"2- B,S","low refinement, too sweet",60%,845
St. Lucia,2013,St. Lucia,"2- B,S","sandy, tannic, earthy",70%,846
Japan,2015,Venezuela,"3- B,S,C","coarse, woody, roasty",79%,847
Japan,2015,Peru,"3- B,S,C","brownine, nutty",78%,848
France,2018,Dominican Republic,"2- B,S","earthy, floral, cocoa",70%,849
France,2018,Haiti,"2- B,S","simple, mild cocoa, fruit",70%,850
France,2018,Guatemala,"2- B,S","spicy, sweet,",70%,851
France,2018,Madagascar,"2- B,S","fruity, roasty",70%,852
U.S.A.,2016,Honduras,"2- B,S","carrots, heavy roast",75%,853
U.S.A.,2018,Vietnam,"2- B,S","intens, brownie, spicy, metal",72%,854
U.S.A.,2019,Sierra Leone,"3- B,S,C","dirty, earthy, burnt, honey",70%,855
U.S.A.,2019,Tanzania,"3- B,S,C","fruit, dirty",80%,856
U.S.A.,2019,Trinidad,"3- B,S,C","muddy, raisins, nut, rubbery",72%,857
France,2014,Vietnam,"3- B,S,C","mild bitter, smoke, hammy",80%,859
France,2014,Vietnam,"3- B,S,C","spicy, green, long, intense",70%,860
France,2014,Vietnam,"3- B,S,C","grit,smoke, wood, blackberry",74%,861
U.S.A.,2008,Venezuela,"4- B,S,C,V","woody, cocoa",72%,862
U.S.A.,2009,Costa Rica,"4- B,S,C,V","sticky, slight plum, medicinal",65%,863
U.S.A.,2009,Blend,"4- B,S,C,V","sweet, vanilla, sticky",74%,864
U.S.A.,2009,Venezuela,"4- B,S,C,V","hazelnut, fruit, slight bitter",81%,865
U.S.A.,2012,Venezuela,"4- B,S,C,V","nutty, ginger, off notes",70%,866
U.S.A.,2021,Blend,"3- B,S,C","sweet, too few nibs, cocoa",65%,867
U.S.A.,2021,Colombia,"2- B,S","mild licorice, late mocha",70%,868
U.S.A.,2011,Blend,"4- B,S,C,V","gritty,overyly sweet,fruit punch",55%,869
U.S.A.,2011,Trinidad,"4- B,S,C,V","grits, very sweet, banana",55%,870
U.S.A.,2011,Venezuela,"4- B,S,C,V","strong vanilla, strawberry, nut",70%,871
U.S.A.,2011,Blend,"4- B,S,C,V","gritty, sweet, vanilla, woody",62%,872
U.S.A.,2011,Blend,"4- B,S,C,V","sweet, vanilla, mild banana",62%,873
U.S.A.,2014,Belize,"3- B,S,C","mild fruit, earthy",80%,874
U.S.A.,2014,Ecuador,"3- B,S,C","spicy, roasty, mild bitter",80%,875
U.S.A.,2014,Dominican Republic,"3- B,S,C","coarse, mild bitter, raisin",80%,876
U.S.A.,2018,Guatemala,"3- B,S,C",prominent plum note,80%,877
U.S.A.,2021,Uganda,"3- B,S,C","sandy, basic cocoa, sweet",70%,878
U.S.A.,2019,Peru,"3- B,S,C",dominated by heavy roast,73%,879
U.S.A.,2010,Brazil,"2- B,S","perfume, floral, vanilla",75%,880
Portugal,2016,Venezuela,"2- B,S","fatty, sandy, nutty, off notes",76%,881
Portugal,2016,Belize,"2- B,S","metallic, off notes, powdery",76%,882
Portugal,2016,Jamaica,"2- B,S","roasty, spicy, nutty",76%,883
Switzerland,2006,Blend,"5- B,S,C,V,L","malitol, cocoa",62%,884
Switzerland,2006,Madagascar,"5- B,S,C,V,L","basic cocoa, short length",64%,885
Switzerland,2006,Venezuela,"5- B,S,C,V,L","creamy, floral, complex",65%,886
Switzerland,2006,Dominican Republic,"5- B,S,C,V,L","creamy, roasty, cocoa",74%,887
Switzerland,2006,Ecuador,"5- B,S,C,V,L","fatty, rich, spice, nutty",72%,888
Switzerland,2006,Bolivia,"5- B,S,C,V,L","complex, raspberry, cocoa",68%,889
Switzerland,2010,Grenada,"5- B,S,C,V,L","spicey, marshmallow",58%,890
U.S.A.,2014,Puerto Rico,"3- B,S,C","intense, molasses, sweet",65%,891
U.S.A.,2014,Dominican Republic,"3- B,S,C","intense, molasses, bitter",85%,892
U.S.A.,2014,Dominican Republic,"3- B,S,C","molasses, licorice, bitter",80%,893
U.S.A.,2014,Dominican Republic,"3- B,S,C","sandy, sweet, mild fruit",70%,894
Canada,2020,Honduras,"3- B,S,C","off, hammy, roasty",70%,895
Canada,2020,Colombia,"3- B,S,C","nutty, melon, vinegar",70%,896
Canada,2020,Mexico,"3- B,S,C","banana, bland, sour, off",70%,897
Canada,2020,Blend,"3- B,S,C","fruit, cocoa, fatty",70%,898
U.K.,2019,Philippines,"4- B,S,C,L","creamy, honey, mild hammy",73%,899
U.K.,2019,Papua New Guinea,"4- B,S,C,L","caramel, acidic, creamy",72%,900
U.K.,2019,Solomon Islands,"4- B,S,C,L","plums, cocoa",69%,901
U.K.,2019,Vanuatu,"4- B,S,C,L","cherry, cocoa, creamy",72%,902
U.S.A.,2018,Belize,"2- B,S","hammy, dried fruit",75%,903
U.S.A.,2018,Guatemala,"2- B,S","hammy, large grits",75%,904
U.S.A.,2018,Colombia,"2- B,S","high acidity, bitter, nutty",75%,905
U.S.A.,2018,Dominican Republic,"2- B,S","roasty, simple",75%,906
Norway,2018,Madagascar,"3- B,S,C","molasses, sour notes",70%,907
Norway,2018,India,"3- B,S,C","muted, mild sweet cocoa",68%,908
Norway,2018,Tanzania,"3- B,S,C","fruit, spicy mild molasses",70%,909
U.K.,2014,Peru,"3- B,S*,C","coconut, true to sugar bar",72%,910
Puerto Rico,2016,Dominican Republic,"6-B,S,C,V,L,Sa","strong vanilla, earthy, nutty",70%,911
Puerto Rico,2016,Dominican Republic,"6-B,S,C,V,L,Sa","vanilla, dried fruit, nuts",80%,912
Singapore,2016,Madagascar,"2- B,S","gummy, bland, sour",70%,913
Singapore,2016,Ecuador,"2- B,S","sticky, floral",75%,914
Singapore,2016,Tanzania,"2- B,S","gummy, sandy, complex",67%,915
Singapore,2018,Dominican Republic,"2- B,S","coffee, acidic, astringent",72%,916
Singapore,2018,Bolivia,"2- B,S","nuts, sour milk",70%,917
Singapore,2018,Indonesia,"2- B,S","sandy, powdery, late sour",70%,918
Singapore,2018,Philippines,"2- B,S","sandy, dried fruit, roasty",70%,919
Singapore,2018,Haiti,"2- B,S","roasty, hazelnut, cocoa",68%,920
Singapore,2019,Mexico,"2- B,S","sticky, dried sour fruit, roasty",70%,921
Singapore,2019,Madagascar,"2- B,S","roasted nuts, citrus, creamy",70%,922
Singapore,2021,Indonesia,"2- B,S","dried fruit (fig), black licorice",72%,923
Singapore,2021,Malaysia,"2- B,S","dairy, cocoa, mild sour",72%,924
New Zealand,2019,Papua New Guinea,"2- B,S","off, tropical, vegetal, rubbery",70%,925
New Zealand,2019,Bolivia,"2- B,S","honey, mild floral, mild off",70%,926
New Zealand,2019,Vanuatu,"2- B,S","fruit, smokey, mocha",70%,927
New Zealand,2019,Colombia,"2- B,S","dirty, roasty, acidic",70%,928
New Zealand,2019,Tanzania,"2- B,S","nutty, bland, late sour",70%,929
New Zealand,2019,Ecuador,"2- B,S","floral, orange, cocoa",70%,930
New Zealand,2019,Peru,"2- B,S","fig, mild anise",70%,931
Venezuela,2012,Venezuela,"3- B,S,C","grits, hazelnut, rum",60%,932
Venezuela,2012,Venezuela,"3- B,S,C","nutty, dried fruit",70%,933
Venezuela,2014,Venezuela,"3- B,S,C","intense, tobacco, nuts",70%,934
Venezuela,2014,Venezuela,"3- B,S,C","caramel, dairy",70%,935
Venezuela,2018,Venezuela,"4- B,S,C,L","large grits, sweet",60%,936
Venezuela,2018,Venezuela,"3- B,S,C",large grits,70%,937
Venezuela,2018,Venezuela,"2- B,S","sl. dry, gritty, fruity, nuts",85%,938
Venezuela,2018,Venezuela,"3- B,S,C","dried fruit, large grits",70%,939
Venezuela,2018,Venezuela,"2- B,S",nutty,72%,940
Belgium,2014,Ghana,"4- B,S,C,L","coarse, hazelnut, peanut",60%,941
Belgium,2014,Madagascar,"4- B,S,C,L",banana,65%,942
Belgium,2015,Vietnam,"4- B,S,C,L","intense, bitter, off notes",80%,943
Belgium,2015,Costa Rica,"4- B,S,C,L","few grits, spicy, cocoa",70%,944
Belgium,2015,Peru,"4- B,S,C,L","very coarse, intense, spice",75%,945
U.S.A.,2011,Peru,"2- B,S","coarse,perfume,heavy roast",70%,946
U.S.A.,2011,Dominican Republic,"2- B,S",choco covered strawberry,65%,947
U.S.A.,2012,Peru,"2- B,S*","sandpaper, some fruit, bitter",81%,948
U.S.A.,2012,Peru,"2- B,S","fruit, cough medicine",70%,949
U.S.A.,2012,Peru,"2- B,S*","olive, rum",66%,950
U.S.A.,2013,Peru,"2- B,S","spice, citrus, sweet",66%,951
U.S.A.,2014,Costa Rica,"2- B,S","mild bitter, roasty, red berry",80%,952
U.S.A.,2014,Nicaragua,"2- B,S","sweet, tobacco",68%,953
U.S.A.,2015,Guatemala,"2- B,S","roasty, grapes, rich brownie",73%,954
U.S.A.,2017,Peru,"2- B,S","slight dry, citrus, grapefruit",70%,955
U.S.A.,2019,India,"3- B,S,C","tea, spicy, sweet",71%,956
U.S.A.,2009,Jamaica,"3- B,S,C","slightly burnt, earthy",80%,957
U.S.A.,2009,Jamaica,"3- B,S,C","creamy, simple, nutty",70%,958
U.S.A.,2009,Jamaica,"3- B,S,C","creamy, roasty, tobacco",70%,959
U.S.A.,2009,Venezuela,"3- B,S,C","complex, mild licorice, spice",65%,960
U.S.A.,2011,Ghana,"3- B,S,C","mild bitter, mild cocoa, roasty",74%,961
U.S.A.,2011,Madagascar,"3- B,S,C","woody, red fruit, sour",74%,962
U.S.A.,2011,Madagascar,"3- B,S,C","sandy, cocoa, red fruit",74%,963
U.S.A.,2011,Jamaica,"3- B,S,C","grassy, brownie, astringent",70%,964
U.S.A.,2011,Dominican Republic,"3- B,S,C","spicy, cocoa",72%,965
U.S.A.,2011,Venezuela,"3- B,S,C","bready, nutty, earthy,intense",76%,966
U.S.A.,2011,Dominican Republic,"3- B,S,C","red berry, some roasty notes",72%,967
U.S.A.,2011,Jamaica,"3- B,S,C","woody, grassy, long",70%,968
U.S.A.,2011,Venezuela,"3- B,S,C","tart, roasted cocoa",70%,969
U.S.A.,2012,Papua New Guinea,"2- B,S","sandy, smoke, red berry",69%,970
U.S.A.,2012,Papua New Guinea,"2- B,S",mild smoke and fruit,69%,971
U.S.A.,2012,Papua New Guinea,"2- B,S","smoke, fruit, sour, hammy",69%,972
U.S.A.,2012,Madagascar,"3- B,S,C","caramel, nuts, dried fruit",74%,973
U.S.A.,2012,Papua New Guinea,"2- B,S","tart, red berry, smoke",69%,974
U.S.A.,2013,Dominican Republic,"3- B,S,C",mildly burnt caramel,72%,975
U.S.A.,2013,Dominican Republic,"3- B,S,C","blackberries, caramel, roasty",72%,976
U.S.A.,2013,Peru,"3- B,S,C",cocoa and fresh grapes,70%,977
U.S.A.,2013,Peru,"3- B,S,C",chocolate covered banana,70%,978
U.S.A.,2014,Peru,"3- B,S,C","light color, leathery flavor",70%,979
U.S.A.,2014,Peru,"3- B,S,C","orange, mellow but flavorful",70%,980
U.S.A.,2014,Peru,"3- B,S,C","fruity, floral, caramel",70%,981
U.S.A.,2014,Peru,"3- B,S,C","slow develop, caramel, roasty",70%,982
U.S.A.,2017,Guatemala,"3- B,S,C","rich cocoa, mild, fatty",70%,983
U.S.A.,2017,Guatemala,"3- B,S,C","rich cocoa, nuts",70%,984
U.S.A.,2017,Guatemala,"3- B,S,C","long lasting, fruit, spicy",70%,985
U.S.A.,2018,Venezuela,"3- B,S,C","roasty, mild fatty",72%,986
U.S.A.,2018,Venezuela,"3- B,S,C","complex, nuts, spice, floral",72%,987
U.S.A.,2021,Peru,"3- B,S,C","licorice, caramel, floral, dirty",74%,988
U.S.A.,2021,Ghana,"3- B,S,C","coconut, high astringency",68%,989
U.S.A.,2021,Peru,"3- B,S,C","spicey, herbal, ripe, sl. burnt",74%,990
U.S.A.,2021,Ghana,"3- B,S,C","fudgey, spicey, nutty",68%,991
U.S.A.,2021,Nicaragua,"3- B,S,C","oily, black licorice, spicey",70%,992
U.S.A.,2021,Madagascar,"3- B,S,C","raspberry, mild sour, cocoa",70%,993
U.S.A.,2021,Nicaragua,"3- B,S,C","rich chocolate, late spice notes",70%,994
U.S.A.,2021,Venezuela,"3- B,S,C","robust cocoa, dried cranberry",68%,995
U.S.A.,2017,Brazil,"2- B,S","creamy, fragrant",70%,996
U.S.A.,2017,Tanzania,"2- B,S","creamy, simple, strong choco",70%,997
U.S.A.,2014,Belize,"2- B,S","spice, fatty, mild cocoa",70%,998
U.S.A.,2014,Madagascar,"2- B,S","strong fruit, ham, deep cocoa",70%,999
U.S.A.,2014,Peru,"2- B,S","banana, yogurt, cocoa",70%,1000
Denmark,2016,Nicaragua,"2- B,S","vegetal, herbs, raw",70%,1001
Denmark,2017,Nicaragua,"3- B,S,C","creamy, black pepper, nut",70%,1002
Denmark,2018,Nicaragua,"3- B,S,C","sweet, metallic",60%,1003
Denmark,2018,Nicaragua,"3- B,S,C","floral, sticky",70%,1004
Denmark,2018,Nicaragua,"3- B,S,C","woody, grassy, spicy",70%,1005
Denmark,2018,Nicaragua,"3- B,S,C","high acidity, grassy",70%,1006
Denmark,2018,Nicaragua,"3- B,S,C","unique flavor, floral-spice mix",68%,1007
Denmark,2018,Nicaragua,"3- B,S,C","delicate, balanced",70%,1008
Denmark,2018,Nicaragua,"3- B,S,C","strong cocoa, orange citrus",70%,1009
Denmark,2018,Nicaragua,"3- B,S,C","cocoa, savory",70%,1010
Denmark,2018,Nicaragua,"3- B,S,C","black pepper,high astringency",70%,1011
Denmark,2018,Guatemala,"3- B,S,C","honey, deep cocoa",70%,1012
Denmark,2018,Nicaragua,"3- B,S,C","banana,dairy, cocoa",70%,1013
Denmark,2011,Nicaragua,"3- B,S,C","fatty, leathery, earthy",70%,1014
Denmark,2011,Nicaragua,"3- B,S,C","tobacco, woody, wild berry",70%,1015
Denmark,2011,Nicaragua,"3- B,S,C","roasty, fatty, woody",70%,1016
Denmark,2012,Nicaragua,"3- B,S,C","intense olive, citrus, vegetal",70%,1017
Denmark,2012,Honduras,"3- B,S,C","spicy, earthy",70%,1018
Denmark,2012,Nicaragua,"3- B,S,C","oily, fatty, bold olive",70%,1019
Denmark,2012,Nicaragua,"3- B,S,C","oily, gritty, savory",70%,1020
Denmark,2013,Nicaragua,"3- B,S,C","oily, burnt black pepper",70%,1021
Denmark,2013,Nicaragua,"3- B,S,C",baked bread,70%,1022
Denmark,2014,Nicaragua,"3- B,S,C","mild fatty, nutty, roasty",70%,1023
Denmark,2015,Nicaragua,"3- B,S,C","oily, sweet, dairy, bland",60%,1024
Denmark,2015,Nicaragua,"3- B,S,C","oily, spicy, sour",85%,1025
U.S.A.,2011,Costa Rica,"3- B,S,C","fatty, sweet, vanilla",70%,1026
U.S.A.,2011,Costa Rica,"3- B,S,C","cocoa, spicy, sweet",66%,1027
U.S.A.,2012,Peru,"3- B,S,C","oily, tart, chlorine",70%,1028
U.S.A.,2013,Ecuador,"3- B,S,C","sandy,sweet, molasses,floral",75%,1029
U.S.A.,2013,Dominican Republic,"3- B,S,C","dried fruit, intense",70%,1030
U.S.A.,2014,Peru,"3- B,S,C","acidic, undefined, brownie, off",76%,1031
U.S.A.,2014,Trinidad,"3- B,S,C","delicate, hebs, choco",70%,1032
U.S.A.,2016,Bolivia,"2- B,S","oily, tropical",74%,1033
U.S.A.,2016,Costa Rica,"2- B,S","oily, dried fruit, leather",74%,1034
U.S.A.,2019,Colombia,"2- B,S","black current,bitter,astringent",85%,1035
U.S.A.,2019,Madagascar,"2- B,S","balanced, fruit, nut, roasty",74%,1036
U.S.A.,2021,Dominican Republic,"2- B,S","sl. bitter up front, fatty, intense",77%,1037
U.S.A.,2021,Dominican Republic,"4- B,S,C,V","dried fruit, cocoa base, fatty",68%,1038
U.S.A.,2021,Peru,"3- B,S,C","black licorice, tangy",72%,1039
Taiwan,2018,Taiwan,"3- B,S,C",cheesy off flavor,70%,1040
Taiwan,2018,Madagascar,"2- B,S","grainy texture, sour, hammy",70%,1041
Taiwan,2018,Tanzania,"2- B,S","accessible, sweet, sandy",70%,1042
Taiwan,2018,Venezuela,"3- B,S,C","dried fruit, cocoa",70%,1043
U.S.A.,2014,U.S.A.,"3- B,S,V","gritty, ambiguous",85%,1044
Germany,2015,Madagascar,"4- B,S,C,L","sandy, sweet, candy tart",65%,1045
Germany,2015,Dominican Republic,"4- B,S,C,L","sticky, spice, roasty, earthy",70%,1046
Germany,2015,Dominican Republic,"4- B,S,C,L","deep cocoa, fruit, spice",80%,1047
Germany,2015,Madagascar,"4- B,S,C,L","red fruit, tart, fat, leathery",75%,1048
Germany,2015,Ghana,"4- B,S,C,L",cocoa and coconut,70%,1049
Germany,2017,St. Lucia,"3- B,S,C","chewy, woody, rustic",77%,1050
Germany,2017,Venezuela,"3- B,S,C","fatty, creamy, roasty",75%,1051
Germany,2018,Guatemala,"3- B,S,C","dry, grainy, spicy, roasty",72%,1052
Germany,2019,Venezuela,"3- B,S,C","earthy, roasty, strong vanilla",75%,1053
U.S.A.,2015,Brazil,"2- B,S","mild woody, black licorice",66%,1054
U.S.A.,2016,Belize,"2- B,S","mild strawberry, cocoa",70%,1055
U.S.A.,2016,Mexico,"3- B,S,C","sour off flavor, nutty, earthy",77%,1056
U.S.A.,2016,Guatemala,"3- B,S,C","sweet edge, bright fruit, sour",77%,1057
U.S.A.,2016,Nicaragua,"3- B,S,C","mild molasses, rich, gateway",77%,1058
U.S.A.,2017,Peru,"3- B,S,C","creamy, fig",70%,1059
U.S.A.,2019,Colombia,"3- B,S,C","acidic, mildly burnt, metallic",73%,1060
U.S.A.,2019,Costa Rica,"3- B,S,C","floral, rubbery, woody",73%,1061
U.S.A.,2021,Ecuador,"3- B,S,C","banana, cocoa, late floral",70%,1062
U.S.A.,2018,Belize,"2- B,S","fruit, tart, rubber",70%,1063
U.S.A.,2021,India,"2- B,S","sweet, dominate cocoa, spice",70%,1064
